label,pattern,replace
margin_term,biseriate,uniseriate
margin_term,ciliata,ciliate
margin_term,corrugated,corrugated
margin_term,crenata,crenate
margin_term,crenate,crenate
margin_term,crenulate,crenulate
margin_term,dentata,dentate
margin_term,dentate,dentate
margin_term,denticulata,denticulate
margin_term,denticulate,denticulate
margin_term,doubly serrate,doubly serrate
margin_term,duplicato dentata,doubly serrate
margin_term,duplicato-dentata,doubly serrate
margin_term,entire,entire
margin_term,forma integra,entire
margin_term,lobata,lobate
margin_term,lobate,lobate
margin_term,lobulate,lobulate
margin_term,palmately lobed,palmately lobed
margin_term,pinnately lobed,pinnately lobed
margin_term,pluriseriate,pluriseriate
margin_term,pungent,pungent
margin_term,scalloped,scalloped
margin_term,serrata,serrate
margin_term,serrate,serrate
margin_term,serrulata,serrulate
margin_term,serrulate,serrulate
margin_term,sinuate,sinuate
margin_term,sinuosa,sinuate
margin_term,spiculata,spiny
margin_term,spiny,spiny
margin_term,tooth,tooth
margin_term,toothed,toothed
margin_term,undulata,undulate
margin_term,undulate,undulate
margin_term,uniseriate,uniseriate
margin_follower,constricted,constricted
margin_follower,crisped,crisped
margin_follower,margined,margined
margin_leader,abruptly,abruptly
margin_leader,annulate,annulate
margin_leader,arborescently,arborescently
margin_leader,asymmetrically,asymmetrically
margin_leader,auricular,auricular
margin_leader,bilaterally,bilaterally
margin_leader,bipinnately,bipinnate
margin_leader,broadly,broadly
margin_leader,bulbously,bulbously
margin_leader,coarsely,coarsely
margin_leader,cuneately,cuneately
margin_leader,deeply,deeply
margin_leader,depressed,depressed
margin_leader,firmly,firmly
margin_leader,forwardly,forwardly
margin_leader,gently,gently
margin_leader,horizontal,horizontal
margin_leader,inflated,inflated
margin_leader,irregularly,irregularly
margin_leader,long-,long-
margin_leader,loose,loose
margin_leader,microscopically,microscopically
margin_leader,mostly,mostly
margin_leader,narrowly,narrowly
margin_leader,nearly,nearly
margin_leader,obliquely,obliquely
margin_leader,obscurely,obscurely
margin_leader,palmately,palmate
margin_leader,paniculately,paniculately
margin_leader,partly,partly
margin_leader,pedately,pedate
margin_leader,pinnately,pinnate
margin_leader,pliantly,pliantly
margin_leader,plumply,plumply
margin_leader,radially,radially
margin_leader,remotely,remotely
margin_leader,reticular,reticular
margin_leader,semi,semi
margin_leader,shallowly,shallowly
margin_leader,sometimes,sometimes
margin_leader,squatly,squatly
margin_leader,striately,striately
margin_leader,sub,sub
margin_leader,subequally,subequally
margin_leader,symmetrically,symmetrically
margin_leader,thickened,thickened
margin_leader,vertically,vertically
