label,pattern,replace,suffix_term
not_numeric,#,,
not_numeric,above,,
not_numeric,average,,
not_numeric,below,,
not_numeric,between,,
not_numeric,big,,
not_numeric,bis,,
not_numeric,bis.,,
not_numeric,by,,
not_numeric,chapter,,
not_numeric,code,,
not_numeric,days,,
not_numeric,desert,,
not_numeric,distant,,
not_numeric,fig,,
not_numeric,fig,,
not_numeric,fig.,,
not_numeric,figure,,
not_numeric,first,,
not_numeric,for,,
not_numeric,map,,
not_numeric,no,,
not_numeric,no,,
not_numeric,no.,,
not_numeric,nos,,
not_numeric,p.,,
not_numeric,page,,
not_numeric,pg,,
not_numeric,pg.,,
not_numeric,pi,,
not_numeric,pi.,,
not_numeric,route,,
not_numeric,sample,,
not_numeric,sampled,,
not_numeric,sec,,
not_numeric,sec.,,
not_numeric,second,,
not_numeric,sheet,,
not_numeric,sheets,,
not_numeric,side,,
not_numeric,sp.,,
not_numeric,spp.,,
not_numeric,table,,
not_numeric,third,,
not_numeric,times,,
not_numeric,weeks,,
