label,pattern
loc,monteverde
loc_label,localities
loc_label,localities:
loc_label,locality
loc_label,locality:
loc_label,location
loc_label,location:
loc_label,locations
loc_label,locations:
not_loc,accession number
not_loc,and densely
not_loc,coarsely wrinkled
not_loc,common
not_loc,common name
not_loc,couple of times
not_loc,elev :
not_loc,erecta
not_loc,estimate
not_loc,estimates
not_loc,examined for a revision
not_loc,flora of north america
not_loc,floral tube
not_loc,genotype
not_loc,geology :
not_loc,gps
not_loc,granitic substrates
not_loc,higher
not_loc,infrequent overall
not_loc,infrequent roadside
not_loc,introgression
not_loc,local erecta
not_loc,locally abundant
not_loc,locally common
not_loc,locally frequent
not_loc,misc
not_loc,misc.
not_loc,no odor
not_loc,not blooming
not_loc,not yet in
not_loc,only seen
not_loc,originally received
not_loc,perhaps some
not_loc,population
not_loc,population highly
not_loc,populations
not_loc,putative parents
not_loc,sandy soil
not_loc,sandy wash
not_loc,scientific name
not_loc,scientific wash
not_loc,second collection made
not_loc,sheet
not_loc,source :
not_loc,sponsored by
not_loc,taxonomic comments
not_loc,trimmed
not_loc,university of
not_loc,very abundant
not_loc,very common
not_loc,very frequent
not_loc,whorls
not_loc,whorls of
not_loc,with :
not_loc,with pale
