label,pattern,replace,type
subpart_term,aculei,aculei,subpart
subpart_term,aculeoli,aculeolus,subpart
subpart_term,aculeolus,aculeolus,subpart
subpart_term,aculeus,aculeus,subpart
subpart_term,anastomosing,anastomosing,subpart
subpart_term,apex,apex,subpart
subpart_term,apiculi,apiculus,subpart
subpart_term,apiculus,apiculus,subpart
subpart_term,appendix,appendix,subpart
subpart_term,article,article,subpart
subpart_term,articles,article,subpart
subpart_term,axes,axis,subpart
subpart_term,axil,axil,subpart
subpart_term,axils,axil,subpart
subpart_term,axis,axis,subpart
subpart_term,base,base,subpart
subpart_term,bases,base,subpart
subpart_term,bilobed,bilobate,subpart
subpart_term,bivalve,bivalve,subpart
subpart_term,bivalves,bivalve,subpart
subpart_term,bristle,setae,subpart
subpart_term,bristles,setae,subpart
subpart_term,callose,callose,subpart
subpart_term,callous,callous,subpart
subpart_term,cilia,cilia,subpart
subpart_term,ciliolate,ciliolate,subpart
subpart_term,crown,crown,subpart
subpart_term,crowns,crown,subpart
subpart_term,cusp,cusp,subpart
subpart_term,dehiscence,dehiscence,subpart
subpart_term,endosperm,endosperm,subpart
subpart_term,flesh,flesh,subpart
subpart_term,furcate,furcate,subpart
subpart_term,gland,gland,subpart
subpart_term,glands,gland,subpart
subpart_term,groove,groove,subpart
subpart_term,hair,hair,subpart
subpart_term,hairs,hair,subpart
subpart_term,horn,horn,subpart
subpart_term,horns,horn,subpart
subpart_term,intervenium,intervenium,subpart
subpart_term,leaf axil,leaf-axil,subpart
subpart_term,leaf-axil,leaf-axil,subpart
subpart_term,lf-axil,leaf-axil,subpart
subpart_term,limb,limb,subpart
subpart_term,limbs,limb,subpart
subpart_term,lobe,lobe,subpart
subpart_term,lobed,lobe,subpart
subpart_term,lobes,lobe,subpart
subpart_term,margin,margin,subpart
subpart_term,margins,margin,subpart
subpart_term,microphyll,microphyll,subpart
subpart_term,microphyllidious,microphyllidious,subpart
subpart_term,node,node,subpart
subpart_term,orifice,orifice,subpart
subpart_term,pili,pili,subpart
subpart_term,pilus,hair,subpart
subpart_term,pore,pore,subpart
subpart_term,pores,pore,subpart
subpart_term,primary axis,primary axis,subpart
subpart_term,prominulous,prominulous,subpart
subpart_term,rachilla,rachilla,subpart
subpart_term,rachillae,rachilla,subpart
subpart_term,ranked,ranked,subpart
subpart_term,ray,ray,subpart
subpart_term,rayed,ray,subpart
subpart_term,rays,ray,subpart
subpart_term,reticulum,reticulum,subpart
subpart_term,rhachis,rhachis,subpart
subpart_term,rim,rim,subpart
subpart_term,scales,scales,subpart
subpart_term,segment,segment,subpart
subpart_term,sinus,sinus,subpart
subpart_term,sinuses,sinus,subpart
subpart_term,spine,spine,subpart
subpart_term,spines,spine,subpart
subpart_term,subcallose,subcallose,subpart
subpart_term,sulci,sulcus,subpart
subpart_term,sulcus,sulcus,subpart
subpart_term,teeth,teeth,subpart
subpart_term,tip,tip,subpart
subpart_term,tips,tip,subpart
subpart_term,trichome,trichome,subpart
subpart_term,trichomes,trichome,subpart
subpart_term,tube,tube,subpart
subpart_term,tubes,tube,subpart
subpart_term,valve,valve,subpart
subpart_term,valves,valve,subpart
subpart_term,venulation,venulation,subpart
subpart_term,venule,vein,subpart
subpart_term,venules,vein,subpart
subpart_term,villi,villi,subpart
subpart_term,villus,villus,subpart
subpart_term,wing,wing,subpart
subpart_term,wings,wing,subpart
