label,pattern,replace
habit_term,acaulescent,acaulescent
habit_term,acid plant,acid plant
habit_term,actinomorphic,actinomorphic
habit_term,arborescent,arborescent
habit_term,ascending,ascending
habit_term,assurgent,assurgent
habit_term,branching,branching
habit_term,caducous,caducous
habit_term,caespitose,cespitose
habit_term,caulescent,caulescent
habit_term,cespitose,cespitose
habit_term,climbing,climbing
habit_term,climbing plant,climbing
habit_term,climbing plants,climbing
habit_term,creeping,creeping
habit_term,decumbent,decumbent
habit_term,deflexed,deflexed
habit_term,determinate growth,determinate growth
habit_term,dimorphic,dimorphic
habit_term,ecad,ecad
habit_term,ecotone,ecotone
habit_term,ectogenesis,ectogenesis
habit_term,ectoparasite,ectoparasite
habit_term,epigeal,epigeal
habit_term,epigean,epigean
habit_term,epigeic,epigeic
habit_term,epigeous,epigeous
habit_term,epilithic,epilithic
habit_term,epiphloedal,epiphloedal
habit_term,epiphloedic,epiphloedic
habit_term,epiphyllous,epiphyllous
habit_term,epiphyte,epiphytic
habit_term,epiphytic,epiphytic
habit_term,equinoctial,equinoctial
habit_term,erect,erect
habit_term,escape,escape
habit_term,eupotamous,eupotamous
habit_term,euryhaline,euryhaline
habit_term,eurythermous,eurythermous
habit_term,exclusive species,exclusive species
habit_term,exotic,exotic
habit_term,exsiccatus,exsiccatus
habit_term,free-standing,free-standing
habit_term,frutescent,frutescent
habit_term,fruticose,fruticose
habit_term,humifuse,humifuse
habit_term,indeterminate growth,indeterminate growth
habit_term,lax,lax
habit_term,liana,liana
habit_term,parasitic,parasitic
habit_term,precocious,precocious
habit_term,procumbent,procumbent
habit_term,prostrate,prostrate
habit_term,repent,repent
habit_term,semi-erect,semi-erect
habit_term,shrubby,shrub
habit_term,subacaulescent,acaulescent
habit_term,subcaulescent,acaulescent
habit_term,subshrubby,shrub
habit_term,suffrutescent,suffrutescent
habit_term,treelet,treelet
habit_term,treelets,treelet
habit_term,upright,upright
habit_term,vine,vine
habit_term,vines,vine
habit_term,virgate,virgate
habit_tree,tree,tree
habit_tree,trees,tree
habit_tree,bush,bush
habit_tree,bushes,bush
