label,pattern,replace
col_label,col,collector
col_label,col.,collector
col_label,coll,collector
col_label,coll.,collector
col_label,collected,collector
col_label,collected by,collector
col_label,collected by:,collector
col_label,collector,collector
col_label,collector:,collector
col_label,collectors,collector
col_label,collectors:,collector
col_label,collector(s),collector
col_label,collector(s):,collector
det_label,det,determiner
det_label,det by,determiner
det_label,det. by,determiner
det_label,determined,determiner
det_label,determined by,determiner
det_label,determiner,determiner
det_label,determiner(s),determiner
det_label,determiner(s):,determiner
job_label,art,artist
job_label,artist,artist
job_label,ass,assistant
job_label,assist,assistant
job_label,assistant,assistant
job_label,auth,author
job_label,author,author
job_label,authors,author
job_label,cartographer,cartographer
job_label,conservator,conservator
job_label,contributor,contributor
job_label,curator,curator
job_label,curatorial,curator
job_label,dir,director
job_label,director,director
job_label,ecologist,ecologist
job_label,editor,editor
job_label,entomologist,entomologist
job_label,explorer,explorer
job_label,extractor,extractor
job_label,gardener,gardener
job_label,geographer,geographer
job_label,geologist,geologist
job_label,georeferencer,georeferencer
job_label,grower,grower
job_label,horticulturalist,horticulturalist
job_label,illustrator,illustrator
job_label,manager,manager
job_label,naturalist,naturalist
job_label,preparator,preparator
job_label,researcher,researcher
job_label,volunteer,volunteer
job_label,volunteers,volunteer
job_label,writer,writer
