pattern
accession number
and densely
common name
couple of times
coarsely wrinkled
elev :
erecta
estimate
estimates
examined for a revision
flora of north america
genotype
gps
infrequent overall
introgression
local erecta
locally abundant
locally common
locally frequent
not blooming
only seen
originally received
perhaps some
population
population highly
populations
putative parents
sandy soil
second collection made
source :
taxonomic comments
very abundant
very common
very frequent
with :
whorls
whorls of
