label,pattern,replace,suffix_term
about,(-?),about,
about,(?),about,
about,(?-),about,
about,?,about,
about,[-?],about,
about,[?-],about,
about,[?],about,
about,about,about,
about,approx,about,
about,approx.,about,
about,approximate,about,
about,ca,about,
about,ca.,about,
about,±,about,
count_suffix,- androus,androus,subpart
count_suffix,- bracteolate,bracteolate,subpart
count_suffix,- callose,callose,subpart
count_suffix,- carpellate,carpellate,subpart
count_suffix,- columned,column,part
count_suffix,- flowered,flower,subpart
count_suffix,- foliolate,lobe,subpart
count_suffix,- horned,horn,subpart
count_suffix,- incised,incised,subpart
count_suffix,- jointed,joint,subpart
count_suffix,- jug,pairs,count_group
count_suffix,- jug.,pairs,count_group
count_suffix,- lobed,lobe,subpart
count_suffix,- locular,locular,subpart
count_suffix,- merous,merous,count
count_suffix,- nate,nate,subpart
count_suffix,- nerved,vein,venation
count_suffix,- paired,pairs,count_group
count_suffix,- pairs,pairs,count_group
count_suffix,- ranked,ranked,subpart
count_suffix,- rayed,ray,subpart
count_suffix,- ribbed,rib,venation
count_suffix,- seeded,seed,subpart
count_suffix,- toothed,tooth,leaf_margin
count_suffix,- veined,vein,venation
count_suffix,-androus,androus,subpart
count_suffix,-bracteolate,bracteolate,subpart
count_suffix,-callose,callose,subpart
count_suffix,-carpellate,carpellate,subpart
count_suffix,-columned,column,part
count_suffix,-flowered,flower,subpart
count_suffix,-foliolate,lobe,subpart
count_suffix,-horned,horn,subpart
count_suffix,-incised,incised,subpart
count_suffix,-jointed,joint,subpart
count_suffix,-jug,pairs,count_group
count_suffix,-jug.,pairs,count_group
count_suffix,-lobed,lobe,subpart
count_suffix,-locular,locular,subpart
count_suffix,-merous,merous,count
count_suffix,-nate,nate,subpart
count_suffix,-nerved,vein,venation
count_suffix,-paired,pairs,count_group
count_suffix,-pairs,pairs,count_group
count_suffix,-ranked,ranked,subpart
count_suffix,-rayed,ray,subpart
count_suffix,-ribbed,rib,venation
count_suffix,-seeded,seed,subpart
count_suffix,-toothed,tooth,leaf_margin
count_suffix,-veined,vein,venation
count_word,absent,0,
count_word,decamerous,10,
count_word,decamery,10,
count_word,dimerous,2,
count_word,dimery,2,
count_word,double,2,
count_word,heptamerous,7,
count_word,heptamery,7,
count_word,hexamerous,6,
count_word,hexamery,6,
count_word,monomerous,1,
count_word,monomery,1,
count_word,nonamerous,9,
count_word,nonamery,9,
count_word,octamerous,8,
count_word,octamery,8,
count_word,pentamerous,5,
count_word,pentamery,5,
count_word,simple,1,
count_word,single,1,
count_word,tetrad,4,
count_word,tetramerous,4,
count_word,tetramery,4,
count_word,triad,3,
count_word,trimerous,3,
count_word,trimery,3,
count_word,triple,3,
dim,broad,broad,
dim,broader,broad,
dim,d.b.h,dbh,
dim,d.b.h.,dbh,
dim,dbh,dbh,
dim,dia,diameter,
dim,dia.,diameter,
dim,diam,diameter,
dim,diam.,diameter,
dim,diameter at breast height,dbh,
dim,diameter at breast height.,dbh,
dim,diameter breast height,dbh,
dim,diameter breast height.,dbh,
dim,diameter,diameter,
dim,diameter.,diameter,
dim,diameters,diameter,
dim,diameters.,diameter,
dim,height,height,
dim,high,height,
dim,in dia,diameter,
dim,in diam,diameter,
dim,in diameter,diameter,
dim,in height,height,
dim,length,length,
dim,long,length,
dim,longo,length,
dim,radius,radius,
dim,tall,height,
dim,thick,thickness,
dim,thickness,thickness,
dim,wide,width,
dim,width,width,
not_numeric,#,,
not_numeric,above,,
not_numeric,average,,
not_numeric,below,,
not_numeric,between,,
not_numeric,big,,
not_numeric,bis,,
not_numeric,bis.,,
not_numeric,by,,
not_numeric,chapter,,
not_numeric,code,,
not_numeric,days,,
not_numeric,desert,,
not_numeric,distant,,
not_numeric,fig,,
not_numeric,fig,,
not_numeric,fig.,,
not_numeric,figure,,
not_numeric,first,,
not_numeric,for,,
not_numeric,map,,
not_numeric,no,,
not_numeric,no,,
not_numeric,no.,,
not_numeric,nos,,
not_numeric,p.,,
not_numeric,page,,
not_numeric,pg,,
not_numeric,pg.,,
not_numeric,pi,,
not_numeric,pi.,,
not_numeric,route,,
not_numeric,sample,,
not_numeric,sampled,,
not_numeric,sec,,
not_numeric,sec.,,
not_numeric,second,,
not_numeric,sheet,,
not_numeric,sheets,,
not_numeric,side,,
not_numeric,sp.,,
not_numeric,spp.,,
not_numeric,table,,
not_numeric,third,,
not_numeric,times,,
not_numeric,weeks,,
per_count,1 or more clusters,cluster,
per_count,cluster,cluster,
per_count,clusters,cluster,
per_count,jugate,pairs,
per_count,one or more clusters,cluster,
per_count,pair,pairs,
per_count,paired,pairs,
per_count,pairs,pairs,
per_count,per row,per row,
per_count,per side,per side,
per_count,row,row,
per_count,rows,rows,
