pattern,ranks
abarema,genus species
abaremotemon,section
abrema,species
absus,subgenus
acacia,genus subgenus section species
acacieae,species
acantha,species
acanthocarpus,species
acatiensis,species
accourcies,section
acistegia,section
acroscias,section
aculeiferum,subgenus section
acuminatae,series
acutifolius,species variety
adenanthera,species
affonsea,species
ailees,section
alatae,section subsection series subseries
albizia,section series species
algarobia,species
ambivalentes,series
americanae,series subseries
amherstia,species
amherstieae,tribe
androcalli,series
androcallis,series
androcauis,section
angustifoha,species
angustifoliae,subsection species
annesleya,section
anneslia,genus species
aphyllae,section species
archidendron,species
archidendropsis,species
armatae,section subsection species
armees,section
arthrosamanea,section series species
arthrosprion,species
augusta,species variety
axillares,series
bactrilobium,species
balizia,section species
bamebiana,species
bamebianum,species
bancrofti,species
basibracteatae,subseries
batizia,species
bauhinia,species
bauhinieae,species
behzensis,species
berteriarui,species
betche,species
biflorae,series
bimucranaia,species
bivalve,species
blanchetiodendron,species
bonduc,species
boormani,species
botrycephalae,section subsection series
bourgonia,section
brachybotryae,section
brazoria,genus species variety
brevifoliae,species
brewsteria,species
brunioideae,section subsection series subseries
caecihae,species
caemlea,species
caesalpinieae,tribe
caetinsa,species
cailliea,species
calacacia,section
calamiformes,section series subseries
calcigera,species
calhandra,genus section series
califomica,species
california,species
calliandra,genus section series species
calliandropsis,genus
calocephalae,series
calycinae,series
campomm,species
candelabmm,species
cantuffa,species
capitatae,subsection
capitulum,species
carnosae,series
cassia,genus species subspecies variety
cathartocarpus,section species
cathormion,species
caulanthon,section
cedrelinga,species
cedretinga,species
chamaecrista,species
chilenses,series
chithonanthus,species
chloroleucon,genus section species
chloroleucum,species
citrus,genus species subspecies variety
claussemi,species
clelia,genus
clypearia,section species
cmegeri,species
cmenta,species
cochliacarleucospermum,species
cochlocarpos,species
codonandra,genus
coemlea,species
cojoba,genus species
colorado,variety
columbia,genus species
columbiana,species subspecies variety subvariety
comiculata,species
comosae,series
comscocaesia,species
concordia,species
conspera,species
continuae,section subsection series subseries
contortis,species
contortisiliqa,species
contortisuiquum,species
contortosiliquum,species
coriaceae,series
corymbosae,series
cotyledon,genus species variety
couetioides,species
cryptocotylae,subsection
cuparilla,species
currani,species
cynometreae,tribe
delta,variety
deltoiden,species
densiflorae,series
desmanthus,genus
diadema,section
dichrostachys,genus species
dimidiatae,section subsection species
dimorphandra,species
dimorphandreae,tribe
dimorphanth,species
drepanium,genus species
dugandia,species
dysanthae,series
ebenopis,species
ebenopsis,species
edwaltii,species
elachistophytia,species
elegantes,series
embescens,species
enchantons,section
enterolobium,genus section species
erianthae,series
eriophyua,variety
erythrophloeum,species
eucaesalpinieae,species
eucalliandra,section
euinga,section
falcatae,species
falcataria,section species
farnesia,species
fermginea,species
feuilleea,species
filicinae,section series
florida,species subspecies variety form
formosae,section
froesn,species
fusanus,species
galax,genus species
galeottu,species
gense,species
georgia,genus species
gerontogeae,series subseries
gigalobium,species
gilbertu,species
glabriflorae,series
globiferae,subsection
goldmanianae,series
gonggrijpn,species
grimaldia,species
guilandina,species
gummifemm,species
gummiferae,section series
guudingii,species
gymnopodae,series
gyrolobium,section
haematostomae,series
haematoxylon,species
hamiltoni,variety
harrrisii,species
hatschbachu,species
havardia,genus species
hecatandra,species
hectophylleae,subgenus
hesperalbizia,species
heterophyllum,subgenus section
hirsutissisma,species
hoopesia,species
houstonianus,species
humuis,species
hydrochorea,species
hymenaeodeae,series
ida,species
indundata,species
inga,species
insulaeiacobi,species
intermpta,species
inundatae,series
irascens,species
irwimi,species
isabella,variety
jaliscenisis,species
juliferae,section
juliflorae,section subsection series subseries
jupunba,species
juzepczuku,species
kenosha,variety
killip,species
klugiodendron,species
ktilipn,species
laboucheria,species
laboucherii,species
laetevirentes,section series
lasiorhegma,subgenus
latisiliquua,species
lazarides,species
lebbeckioides,species
lens,species
lepiinga,section
leptanthae,series
lepthanthae,section
leptinga,section
leptophytia,species
leptophyua,species
leptopodae,series
leucaena,species
leucochloron,species
leucosamanea,section
longiflorae,series
longijlora,species
longipedes,series
lophanmangense,species
lophantha,section
louisiana,species
luehmanni,species
lycopodiifolia,section
lycopodiifoliae,section
lysiloma,species
lysiphyllum,section species
macqueemi,species
macrolobium,species
macrophyllae,series
macrosamanea,species
magniscutellae,subsection
maitlandi,species
major,species subspecies variety form
mancorymbosa,species
manganaroa,species
manmangense,species
mariposa,species subspecies variety
marmaroxylon,section species
maslin,species
maxwelli,species
mbescens,species
mbiginosa,species
medibracteatae,subseries
merrickae,species
mezoneuron,species
mfescens,species
mfipila,species
microcallis,section
microcauis,series
microlobius,species
microneura,subsection species
mimoseae,species
minamm,species
miocenicus,species
mirbeli,species
mitcheli,species
mixtae,subsection
mohnae,species
molucanna,species
monacanthea,section
