label,pattern,replace
flower_location,epigynous,inferior
flower_location,half-inferior,inferior
flower_location,hypogynous,superior
flower_location,inferior,inferior
flower_location,perigynous,perigynous
flower_location,superior,superior
joined,adherent,
joined,adnate,
joined,connate,
joined,sympetalous,
joined,synandrous,
joined,synantherous,
joined,syncarpous,
joined,synfilamentous,
joined,synsepalous,
location,abaxial,abaxial
location,above,above
location,adaxial,adaxial
location,adventitious,adventitious
location,anterior,anterior
location,apical,apical
location,axillary,axillary
location,basal,basal
location,basally,basal
location,basifixed,basifixed
location,basipetal,basipetal
location,below,below
location,beneath,beneath
location,cauline,cauline
location,distal,distal
location,distally,distal
location,dorsal,dorsal
location,dorsally,dorsal
location,dorsiventral,dorsiventral
location,dorsiventrally,dorsiventral
location,externally,externally
location,facially,facially
location,hysteranthous,hysteranthous
location,hysteranthously,hysteranthously
location,infrapetiolar,infrapetiolar
location,infrastipular,infrastipular
location,interfoliolar,interfoliolar
location,interpinnal,interpinnal
location,intramarginal,intramarginal
location,lateral,lateral
location,mesophyllidious,mesophyllidious
location,petiolar,petiolar
location,posterior,posterior
location,proximal,proximal
location,proximally,proximal
location,radical,radical
location,stemonozone,stemonozone
location,style,style
location,subcentric,subcentric
location,subtended,subtended
location,subtending,subtending
location,synanthous,synanthous
location,terminal,terminal
location,terminally,terminal
location,transverse,transverse
location,ventral ,ventral
location,ventrally,ventral
location_leader,to,
location_leader,at,
location_leader,embracing,
location_leader,immersed,
location_leader,from,
