label,pattern,replace,type
bad_part,plant atlas,,bad_part
bad_part,plant inventory,,bad_part
bad_part,plants atlas,,bad_part
bad_part,plants inventory,,bad_part
bad_part,plants of,,bad_part
part,acephalous,corona,flower_part
part,achaenocarp,achaenocarp,fruit_part
part,achene,achene,fruit_part
part,achenes,achene,fruit_part
part,achlamydeous,achlamydeous,flower_part
part,acutangular,acutangular,plant_part
part,adelphous,adelphous,male_flower_part
part,androecia,stamen,male_flower_part
part,androecium,stamen,male_flower_part
part,anthela,anthela,inflorescence
part,anther,anther,male_flower_part
part,anthers,anther,male_flower_part
part,apetalous,apetalous,flower_part
part,apocarpus,apocarpus,female_flower_part
part,bark,bark,plant_part
part,bathyphyll,bathyphyll,leaf_part
part,beak,beak,fruit_part
part,beaks,beak,fruit_part
part,beltian bodies,beltian body,plant_part
part,beltian body,beltian body,plant_part
part,berries,berry,fruit_part
part,berry,berry,fruit_part
part,blade,leaf,leaf_part
part,blades,leaf,leaf_part
part,bostryx,bostryx,inflorescence
part,brachyblast,brachyblast,plant_part
part,bract,bract,flower_part
part,bracteole,bract,flower_part
part,bracteoles,bract,flower_part
part,bractlet,bract,flower_part
part,bractlets,bract,flower_part
part,bracts,bract,flower_part
part,branch,branch,plant_part
part,branches,branch,plant_part
part,branchlet,branch,plant_part
part,branchlets,branch,plant_part
part,bud,bud,plant_part
part,buds,bud,plant_part
part,calathid,calathid,inflorescence
part,calyces,calyx,flower_part
part,calyx,calyx,flower_part
part,capitula,capitulum,inflorescence
part,capitulum,capitulum,inflorescence
part,capsule,capsule,fruit_part
part,capsules,capsule,fruit_part
part,carpel,carpel,flower_part
part,carpellate,carpellate,female_flower_part
part,carpels,carpel,flower_part
part,caryopsis,caryopsis,fruit_part
part,catkin,catkin,inflorescence
part,catkins,catkin,inflorescence
part,caudex,caudex,plant_part
part,caudices,caudex,plant_part
part,cincinnus,cincinnus,inflorescence
part,circumscissile,circumscissile,fruit_part
part,cladode,cladode,plant_part
part,cladophyll,cladophyll,plant_part
part,claw,claw,flower_part
part,claws,claw,flower_part
part,column,column,plant_part
part,columned,column,plant_part
part,compound capitulum,compound capitulum,inflorescence
part,compound pistil,compound pistil,female_flower_part
part,compound raceme,compound raceme,inflorescence
part,compound spike,compound spike,inflorescence
part,compound spikes,compound spikes,inflorescence
part,compound umbel,compound umbel,inflorescence
part,connective,connective,male_flower_part
part,corm,corm,plant_part
part,corolla,corolla,flower_part
part,corollas,corolla,flower_part
part,corona,corona,flower_part
part,coronas,coronas,flower_part
part,cortex,,plant_part
part,corymb,corymb,inflorescence
part,costate,rib,leaf_part
part,cotyledon,cotyledon,fruit_part
part,cotyledons,cotyledon,fruit_part
part,craspedium,craspedium,plant_part
part,cyathium,cyathium,inflorescence
part,cyme,cyme,inflorescence
part,cymes,cyme,inflorescence
part,cymose corymb,cymose corymb,inflorescence
part,dehiscent,dehiscent,fruit_part
part,diadelphous,diadelphous,male_flower_part
part,dichasium,dichasium,inflorescence
part,didynamous,didynamous,male_flower_part
part,disc,disk,flower_part
part,discs,disk,flower_part
part,disk,disk,flower_part
part,disks,disk,flower_part
part,double cyme ,double cyme,inflorescence
part,double umbel,double umbel,inflorescence
part,drepanium,drepanium,inflorescence
part,drupe,drupe,fruit_part
part,drupes,drupes,fruit_part
part,endocarp,endocarp,fruit_part
part,endodermis,,plant_part
part,epicalyces,epicalyx,flower_part
part,epicalyx,epicalyx,flower_part
part,epidermis,,plant_part
part,epipetalous,epipetalous,male_flower_part
part,exocarp,exocarp,fruit_part
part,exserted,exserted,male_flower_part
part,false spike,false spike,inflorescence
part,fascicle,fascicle,plant_part
part,fascicles,fascicles,inflorescence
part,filament,filament,male_flower_part
part,filaments,filament,male_flower_part
part,fl,flower,flower_part
part,fl-buds,flower-buds,flower_part
part,fl-spikes,flower-spikes,inflorescence
part,fld,flowered,flower_part
part,floral axis,floral axis,flower_part
part,floral bracts,bract,flower_part
part,floral envelope,floral envelope,flower_part
part,floral leaves,leaf,flower_part
part,floret,floret,flower_part
part,florets,floret,flower_part
part,flower,flower,flower_part
part,flowering branch,branch,flower_part
part,flowering branches,branch,flower_part
