label,pattern,attr,replace,rank_id,abbrev,level
kingdom_rank,kingdom,lower,kingdom,10,,higher
subkingdom_rank,subkingdom,lower,subkingdom,20,,higher
infrakingdom_rank,infrakingdom,lower,infrakingdom,25,,higher
superdivision_rank,superdivision,lower,superdivision,27,,higher
division_rank,division,lower,division,30,,higher
division_rank,phylum,lower,division,30,,higher
subdivision_rank,subdivision,lower,subdivision,40,,higher
subdivision_rank,subphylum,lower,subdivision,40,,higher
infradivision_rank,infradivision,lower,infradivision,45,,higher
superclass_rank,superclass,lower,superclass,50,,higher
class_rank,class,lower,class,60,,higher
subclass_rank,subclass,lower,subclass,70,,higher
infraclass_rank,infraclass,lower,infraclass,80,,higher
superorder_rank,superorder,lower,superorder,90,,higher
order_rank,order,lower,order,100,,higher
suborder_rank,suborder,lower,suborder,110,,higher
family_rank,family,lower,family,140,,higher
subfamily_rank,subfamily,lower,subfamily,150,,higher
tribe_rank,tribe,lower,tribe,160,,higher
tribe_rank,tribes,lower,tribe,160,,higher
subtribe_rank,subtribe,lower,subtribe,170,,higher
subtribe_rank,subtribes,lower,subtribe,170,,higher
genus_rank,genus,lower,genus,180,,higher
subgenus_rank,subg.,lower,subgenus,190,subg.,higher
subgenus_rank,subgenus,lower,subgenus,190,subg.,higher
section_rank,sect,lower,section,200,sect.,higher
section_rank,sect.,lower,section,200,sect.,higher
section_rank,section,lower,section,200,sect.,higher
subsection_rank,subsect,lower,subsection,210,subsect.,higher
subsection_rank,subsect.,lower,subsection,210,subsect.,higher
subsection_rank,subsection,lower,subsection,210,subsect.,higher
series_rank,ser,lower,series,212,ser.,higher
series_rank,ser.,lower,series,212,ser.,higher
series_rank,series,lower,series,212,ser.,higher
subseries_rank,subser,lower,subseries,215,subser.,higher
subseries_rank,subser.,lower,subseries,215,subser.,higher
subseries_rank,subseries,lower,subseries,215,subser.,higher
species_rank,sp,lower,species,220,sp.,species
species_rank,sp,lower,species,220,sp.,species
species_rank,sp.,lower,species,220,sp.,species
species_rank,sp.,lower,species,220,sp.,species
species_rank,species,lower,species,220,sp.,species
subspecies_rank,ssp,lower,subspecies,230,subsp.,lower
subspecies_rank,ssp.,lower,subspecies,230,subsp.,lower
subspecies_rank,subsp,lower,subspecies,230,subsp.,lower
subspecies_rank,subsp.,lower,subspecies,230,subsp.,lower
subspecies_rank,subspecies,lower,subspecies,230,subsp.,lower
variety_rank,var,lower,variety,240,var.,lower
variety_rank,var.,lower,variety,240,var.,lower
variety_rank,variant,lower,variety,240,var.,lower
variety_rank,varietas,lower,variety,240,var.,lower
variety_rank,variety,lower,variety,240,var.,lower
subvariety_rank,subvar,lower,subvariety,250,subvar.,lower
subvariety_rank,subvar.,lower,subvariety,250,subvar.,lower
subvariety_rank,subvariety,lower,subvariety,250,subvar.,lower
form_rank,f,text,form,260,f.,lower
form_rank,f.,text,form,260,f.,lower
form_rank,form,lower,form,260,f.,lower
form_rank,forma,lower,form,260,f.,lower
subform_rank,subf,lower,subform,270,subf.,lower
subform_rank,subf.,lower,subform,270,subf.,lower
subform_rank,subform,lower,subform,270,subf.,lower
