label,pattern,replace
reproduction,androdioecious,androdioecious
reproduction,androecious,androecious
reproduction,androgynomonoecious,androgynomonoecious
reproduction,androgynous,androgynous
reproduction,andromonoecious,andromonoecious
reproduction,dichogamous,dichogamous
reproduction,dioecious,dioecious
reproduction,gynodioecious,gynodioecious
reproduction,gynodioecy,gynodioecy
reproduction,gynoecious,gynoecious
reproduction,gynomonoecious,gynomonoecious
reproduction,hermaphrodite,hermaphrodite
reproduction,hermaphroditic,hermaphrodite
reproduction,monoecious,monoecious
reproduction,polygamodioecious,polygamodioecious
reproduction,polygamomonoecious,polygamomonoecious
reproduction,polygamous,polygamous
reproduction,protogynous,protogynous
reproduction,subandroecious,subandroecious
reproduction,subdioecious,subdioecious
reproduction,subgynoecious,subgynoecious
reproduction,trimonoecious,trimonoecious
reproduction,trioecious,trioecious
