label,pattern,replace
shape_term,acicular,polygonal
shape_term,actinomorphic,radially symmetric
shape_term,acuminate,acuminate
shape_term,acute,acute
shape_term,acutifolius,acutifolius
shape_term,alate,alate
shape_term,amentiform,amentiform
shape_term,amplexicaul,amplexicaul
shape_term,ampulliform,ampulliform
shape_term,angular,angular
shape_term,angular-orbiculate,polygonal
shape_term,angulate,polygonal
shape_term,antrorsed,antrorsed
shape_term,apiculate,apiculate
shape_term,arched,arched
shape_term,arcuate,arcuate
shape_term,aristate,aristate
shape_term,asymmetrical,asymmetrical
shape_term,attenuate,attenuate
shape_term,auricle,auricle
shape_term,auriculate,auriculate
shape_term,baculiform,baculiform
shape_term,biconvex,biconvex
shape_term,bifid,bifid
shape_term,bifoliate,bifoliate
shape_term,bifoliolate,bifoliolate
shape_term,bifusiform,bifusiform
shape_term,bigeminate,bigeminate
shape_term,bilabiate,bilabiate
shape_term,bilateral,bilaterally symmetric
shape_term,bilobate,bilobate
shape_term,bipinnate,bipinnate
shape_term,bipinnatisect,bipinnatisect
shape_term,biternate,biternate
shape_term,bowl-shaped,saucerlike
shape_term,bowlshaped,saucerlike
shape_term,branched,branched
shape_term,broad-based,broad-based
shape_term,bullate,bullate
shape_term,c-curved,c-curved
shape_term,calcarate,calcarate
shape_term,calceolate,calceolate
shape_term,campanulate,campanulate
shape_term,capitate,capitate
shape_term,capitulate,capitulate
shape_term,cat's claw,cat's-claw
shape_term,cat's-claw,cat's-claw
shape_term,cats-claw,cat's-claw
shape_term,caudate,caudate
shape_term,chaffy,chaffy
shape_term,circular,orbicular
shape_term,cirrate,cirrate
shape_term,cirrus,cirrus
shape_term,clavate,clavate
shape_term,colliculate,colliculate
shape_term,compressed-obovoid,compressed-obovoid
shape_term,compressed-ovoid,compressed-ovoid
shape_term,concave,concave
shape_term,conelike,conelike
shape_term,confluent,
shape_term,connate-perfoliate,
shape_term,contracted,contracted
shape_term,convex,convex
shape_term,cordate,cordate
shape_term,cordiform,cordiform
shape_term,coronate,coronate
shape_term,craspedial,craspedial
shape_term,crateriform,saucerlike
shape_term,cross-venulate,cross-venulate
shape_term,cruciform,cruciform
shape_term,cultrate,cultrate
shape_term,cuneate,cuneate
shape_term,cup-shaped,cup-shaped
shape_term,cupshaped,cup-shaped
shape_term,cupular,cupular
shape_term,cupulate,cup-shaped
shape_term,curved,curved
shape_term,cushion-shaped,cushion-shaped
shape_term,cuspidate,cuspidate
shape_term,cyanthiform,cyanthiform
shape_term,cylindric,cylindric
shape_term,cylindrical,cylindrical
shape_term,cymbiform,saucerlike
shape_term,decurved,decurved
shape_term,deltate,deltoid
shape_term,deltate-triangular,deltate-triangular
shape_term,deltoid,deltoid
shape_term,depressed-deltate,depressed-deltate
shape_term,digitate,digitate
shape_term,dilated,dilated
shape_term,diplostemonous,diplostemonous
shape_term,discoid,disk
shape_term,ellipsoid,ellipsoid
shape_term,ellipsoidal,ellipsoidal
shape_term,elliptic,elliptic
shape_term,elliptic-oblanceolate,elliptic-oblanceolate
shape_term,elongate,elongate
shape_term,elongate-ovate,elongate-ovate
shape_term,emarginate,emarginate
shape_term,ensate,ensate
shape_term,ensiform,linear
shape_term,even-pinnate,even-pinnate
shape_term,falcate,falcate
shape_term,fasciculate,fasciculate
shape_term,fenestrate,fenestrate
shape_term,filiform,filiform
shape_term,flabelliorm,flabellate
shape_term,flagelliform,flagelliform
shape_term,foliate,foliate
shape_term,funiform,funiform
shape_term,funnel-shaped,funnelform
shape_term,funnelform,funnelform
shape_term,funnelshaped,funnelform
shape_term,fused,fused
shape_term,fusiform,fusiform
shape_term,galeate,galeate
shape_term,geminate,geminate
shape_term,gland-tipped,gland-tipped
shape_term,glandular-capitate,glandular-capitate
shape_term,globose,spheric
shape_term,grooved,grooved
shape_term,haplostemonous,haplostemonous
shape_term,hastate,hastate
shape_term,hemispheric,hemispheric
shape_term,hippocrepiform,hippocrepiform
shape_term,imparipinnate,imparipinnate
shape_term,incised,incised
shape_term,incurved,incurved
shape_term,incurved-ascending,incurved-ascending
shape_term,inequilateral,inequilateral
shape_term,inert,inert
shape_term,infundibular,infundibular
shape_term,irregular,bilaterally symmetric
shape_term,keeled,keeled
shape_term,labiate,labiate
shape_term,labriform,labriform
shape_term,laciniate,laciniate
shape_term,laminar,laminar
shape_term,lance-attenuate,lance-attenuate
shape_term,lance-elliptic,lance-elliptic
shape_term,lance-linear,lance-linear
shape_term,lanceolate,lanceolate
shape_term,ligulate,ligulate
shape_term,liguliform,liguliform
shape_term,linear,linear
shape_term,linear-attenuate,linear-attenuate
shape_term,linear-oblong,linear-oblong
shape_term,longitudinal,longitudinal
shape_term,lorate,lorate
shape_term,low-bullate,low-bullate
shape_term,lyrate,lyrate
shape_term,monosymmetric,monosymmetric
shape_term,monosymmetrical,monosymmetrical
shape_term,moriform,moriform
shape_term,mounded,mounded
shape_term,mucronate,mucronate
shape_term,mucronulate,mucronulate
shape_term,multicostate,palmate
shape_term,multifid,multifid
shape_term,multifoliolate,multifoliolate
shape_term,navicular,cymbiform
shape_term,no lobes,0
shape_term,obconic,obconic
shape_term,obcordate,obcordate
shape_term,obese,obese
shape_term,oblanceolate,oblanceolate
shape_term,oblique,oblique
shape_term,oblong,oblong
shape_term,oblong-elliptic,oblong-elliptic
shape_term,oblong-terete,oblong
shape_term,obovate,obovate
shape_term,obovoid,obovoid
shape_term,obtriangular,obtriangular
shape_term,obtusangulate,obtusangulate
shape_term,obtuse,obtuse
shape_term,obtuse-apiculate,obtuse-apiculate
shape_term,octagonal,polygonal
shape_term,octagonate,polygonal
shape_term,odd-pinnate,odd-pinnate
shape_term,orbicular,orbicular
shape_term,orbicular-ovate,orbicular
shape_term,orbiculate,orbicular
shape_term,ovate,ovate
shape_term,ovate-acuminate,ovate-acuminate
shape_term,ovate-angulate,ovate-polygonal
shape_term,ovoid,ovoid
shape_term,ovoid-ellipsoid,ovoid-ellipsoid
shape_term,paleaceous,paleaceous
shape_term,palmatifid,palmatifid
shape_term,palmatiite,palmatiite
shape_term,palmatipartite,palmatipartite
shape_term,palmatisect,palmatisect
shape_term,pandurate,pandurate
shape_term,papilionaceous,papilionaceous
shape_term,pappiform,pappiform
shape_term,paripinnate,paripinnate
shape_term,patelliform,patelliform
shape_term,pedate,pedate
shape_term,pedicellate,pedicellate
shape_term,peltate,peltate
shape_term,pendulous,pendulous
shape_term,pentagonal,polygonal
shape_term,pentangular,polygonal
shape_term,pentangulate,polygonal
shape_term,perfoliate,perfoliate
shape_term,perforate,perforate
shape_term,petiolate,petiolate
shape_term,pinnate,pinnate
shape_term,pinnatifid,pinnatifid
shape_term,pinnatiite,pinnatiite
shape_term,pinnatipartite,pinnatipartite
shape_term,pinnatisect,pinnatisect
shape_term,plain,plain
shape_term,plane,plane
shape_term,plano-compressed,plano-compressed
shape_term,planocompressed,plano-compressed
shape_term,plumose,plumose
shape_term,plumpy,plumpy
shape_term,pluripinnate,pluripinnate
shape_term,polygonal,polygonal
shape_term,polygonal - angulate,polygonal
shape_term,polygonal-angulate,polygonal
shape_term,pseudoracemose,pseudoracemose
shape_term,pulvinate,pulvinate
shape_term,pyriform,pyriform
shape_term,quadagonal,polygonal
shape_term,quadagulate,polygonal
shape_term,quadanguar,polygonal
shape_term,quadilateral,polygonal
shape_term,rectangular,rhomboid
shape_term,recurved,recurved
shape_term,recurving,recurving
shape_term,refracted,refracted
shape_term,regular,radially symmetric
shape_term,reniform,reniform
shape_term,reniform-angulate,reniform-polygonal
shape_term,retrorse,retrorse
shape_term,retuse,retuse
shape_term,rhombic,rhomboic
shape_term,rhombic-oblong,rhombic-oblong
shape_term,rhombic-obovoid-lentiform,rhombic-obovoid-lentiform
shape_term,rhomboic,rhomboic
shape_term,rhomboid,rhomboid
shape_term,rhomboidal,rhomboidal
shape_term,rosette,rosette
