label,pattern,replace,type
subpart,aculei,aculei,subpart
subpart,aculeoli,aculeolus,subpart
subpart,aculeolus,aculeolus,subpart
subpart,aculeus,aculeus,subpart
subpart,anastomosing,anastomosing,subpart
subpart,apex,apex,subpart
subpart,apiculi,apiculus,subpart
subpart,apiculus,apiculus,subpart
subpart,appendix,appendix,subpart
subpart,article,article,subpart
subpart,articles,article,subpart
subpart,axes,axis,subpart
subpart,axil,axil,subpart
subpart,axils,axil,subpart
subpart,axis,axis,subpart
subpart,base,base,subpart
subpart,bases,base,subpart
subpart,bilobed,bilobate,subpart
subpart,bivalve,bivalve,subpart
subpart,bivalves,bivalve,subpart
subpart,bristle,setae,subpart
subpart,bristles,setae,subpart
subpart,callose,callose,subpart
subpart,callous,callous,subpart
subpart,cilia,cilia,subpart
subpart,ciliolate,ciliolate,subpart
subpart,crown,crown,subpart
subpart,crowns,crown,subpart
subpart,cusp,cusp,subpart
subpart,dehiscence,dehiscence,subpart
subpart,endosperm,endosperm,subpart
subpart,flesh,flesh,subpart
subpart,furcate,furcate,subpart
subpart,gland,gland,subpart
subpart,glands,gland,subpart
subpart,groove,groove,subpart
subpart,hair,hair,subpart
subpart,hairs,hair,subpart
subpart,horn,horn,subpart
subpart,horns,horn,subpart
subpart,intervenium,intervenium,subpart
subpart,leaf axil,leaf-axil,subpart
subpart,leaf-axil,leaf-axil,subpart
subpart,lf-axil,leaf-axil,subpart
subpart,limb,limb,subpart
subpart,limbs,limb,subpart
subpart,lobe,lobe,subpart
subpart,lobed,lobe,subpart
subpart,lobes,lobe,subpart
subpart,margin,margin,subpart
subpart,margins,margin,subpart
subpart,microphyll,microphyll,subpart
subpart,microphyllidious,microphyllidious,subpart
subpart,node,node,subpart
subpart,orifice,orifice,subpart
subpart,pili,pili,subpart
subpart,pilus,hair,subpart
subpart,pore,pore,subpart
subpart,pores,pore,subpart
subpart,primary axis,primary axis,subpart
subpart,prominulous,prominulous,subpart
subpart,rachilla,rachilla,subpart
subpart,rachillae,rachilla,subpart
subpart,ranked,ranked,subpart
subpart,ray,ray,subpart
subpart,rayed,ray,subpart
subpart,rays,ray,subpart
subpart,reticulum,reticulum,subpart
subpart,rhachis,rhachis,subpart
subpart,rim,rim,subpart
subpart,scales,scales,subpart
subpart,segment,segment,subpart
subpart,sinus,sinus,subpart
subpart,sinuses,sinus,subpart
subpart,spine,spine,subpart
subpart,spines,spine,subpart
subpart,subcallose,subcallose,subpart
subpart,sulci,sulcus,subpart
subpart,sulcus,sulcus,subpart
subpart,teeth,tooth,subpart
subpart,tip,tip,subpart
subpart,tips,tip,subpart
subpart,trichome,trichome,subpart
subpart,trichomes,trichome,subpart
subpart,tube,tube,subpart
subpart,tubes,tube,subpart
subpart,valve,valve,subpart
subpart,valves,valve,subpart
subpart,venulation,venulation,subpart
subpart,venule,vein,subpart
subpart,venules,vein,subpart
subpart,villi,villi,subpart
subpart,villus,villus,subpart
subpart,wing,wing,subpart
subpart,wings,wing,subpart
