label,pattern,replace
surface_term,acanceous,acanceous
surface_term,acantha,acantha
surface_term,acanthocarpus,acanthocarpus
surface_term,acanthocladous,acanthocladous
surface_term,aculeate,aculeate
surface_term,aculeolate,aculeolate
surface_term,aden,aden
surface_term,adenoid,adenoid
surface_term,adenophore,adenophore
surface_term,adenophyllous,adenophyllous
surface_term,appressed-setose,appressed-setose
surface_term,arachnoid,arachnoid
surface_term,bloom,bloom
surface_term,canescent,canescent
surface_term,carnosulous,carnosulous
surface_term,chartaceous,chartaceous
surface_term,ciliate,ciliate
surface_term,coriaceouse,coriaceouse
surface_term,cuticle,cuticle
surface_term,downy,downy
surface_term,echinate-aculeate,echinate-aculeate
surface_term,efoliate,efoliate
surface_term,eglandular,eglandular
surface_term,fimbriate,fimbriate
surface_term,fimbriolate,fimbriolate
surface_term,floccose,floccose
surface_term,glabrate,glabrate
surface_term,glabrous,glabrous
surface_term,glandular,glandular
surface_term,glandular-punctate,glandular-punctate
surface_term,glandular-setose,glandular-setose
surface_term,glandular-setulose,glandular-setulose
surface_term,glandularsetose,glandularsetose
surface_term,granular,granular
surface_term,hairy,hairy
surface_term,hirsute,hirsute
surface_term,hispid,hispid
surface_term,hispid-pilose,hispid-pilose
surface_term,hispidulous,hispid
surface_term,lanate,lanate
surface_term,lanate-tomentulose,lanate-tomentulose
surface_term,lepidote,lepidote
surface_term,membranous,membranous
surface_term,pallid-tomentulose,pallid-tomentulose
surface_term,papillate-puberulent,papillate-puberulent
surface_term,pilose,pilose
surface_term,pilosulous,pilosulous
surface_term,pliant,pliant
surface_term,prickly,prickly
surface_term,pubemlent,pubemlent
surface_term,puberulecence,puberulecence
surface_term,puberulent,puberulent
surface_term,puberulous,puberulent
surface_term,pubescent,pubescent
surface_term,retroaculeate,retroaculeate
surface_term,scaberulous,scabrous
surface_term,scabrous,scabrous
surface_term,scurfy,scurfy
surface_term,sericeous,sericeous
surface_term,setaculeate,setaculeate
surface_term,setose,setose
surface_term,setose-ciliate,setose-ciliate
surface_term,setulose,setulose
surface_term,silky,silky
surface_term,silky-canescent,silky-canescent
surface_term,silky-pilosulous,silky-pilosulous
surface_term,silky-tomentulose,silky-tomentulose
surface_term,smooth,smooth
surface_term,strigose,strigose
surface_term,subappressed,subappressed
surface_term,subappressed-strigose,strigose
surface_term,subglabrous,subglabrous
surface_term,sublustrous,sublustrous
surface_term,surface_term,surface_term
surface_term,surfaces,surface_term
surface_term,tomentose,tomentose
surface_term,tomentulose,tomentulose
surface_term,unarmed,unarmed
surface_term,verrucose,verrucose
surface_term,villose,villose
surface_term,villosity,villosity
surface_term,villosulous,villosulous
surface_term,villous,villose
surface_term,viscid,viscid
surface_leader,armed,armed
surface_leader,canescently,canescently
surface_leader,densely,densely
surface_leader,shortly,shortly
surface_leader,thinly,thinly
